frame,timestamp,src_mac,format,channel_width_mhz,num_rx,num_tx,num_subcarriers,rssi1,rssi2,csi_data_size,rate_n_flag
0,0,22:6e:45:de:34:20,HT,20,2,1,56,75,79,448,49668
1,0,22:6e:45:de:34:20,HT,20,2,1,56,73,80,448,49667
2,0,22:6e:45:de:34:20,HT,20,2,1,56,75,79,448,49668
3,0,22:6e:45:de:34:20,HT,20,2,1,56,80,80,448,49667
4,0,22:6e:45:de:34:20,HT,20,2,1,56,79,77,448,49667
5,0,22:6e:45:de:34:20,HT,20,2,1,56,81,81,448,49667
6,0,22:6e:45:de:34:20,HT,20,2,1,56,79,78,448,49668
7,0,22:6e:45:de:34:20,HT,20,2,1,56,78,80,448,49667
8,0,22:6e:45:de:34:20,HT,20,2,1,56,78,80,448,49666
9,0,22:6e:45:de:34:20,HT,20,2,1,56,77,79,448,49666
10,0,22:6e:45:de:34:20,HT,20,2,1,56,81,80,448,49667
11,0,22:6e:45:de:34:20,HT,20,2,1,56,80,80,448,49666
12,0,22:6e:45:de:34:20,HT,20,2,1,56,80,79,448,49666
13,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,68,448,49669
14,0,22:6e:45:de:34:20,HT,20,2,1,56,77,77,448,49666
15,0,68:72:51:58:79:97,HT,20,2,1,56,79,78,448,180740
16,0,68:72:51:58:79:97,HT,20,2,1,56,79,80,448,180740
17,0,68:72:51:58:79:97,HT,20,2,1,56,78,81,448,180740
18,0,68:72:51:58:79:97,HT,20,2,1,56,78,80,448,180740
19,0,22:6e:45:de:34:20,HT,20,2,1,56,76,78,448,49667
20,0,22:6e:45:de:34:20,HT,20,2,1,56,76,77,448,49666
21,0,22:6e:45:de:34:20,HT,20,2,1,56,77,77,448,49666
22,0,68:72:51:58:79:97,HT,20,2,1,56,78,80,448,180740
23,0,22:6e:45:de:34:20,HT,20,2,1,56,78,82,448,49667
24,0,22:6e:45:de:34:20,HT,20,2,1,56,77,82,448,49666
25,0,22:6e:45:de:34:20,HT,20,2,1,56,79,79,448,49666
26,0,22:6e:45:de:34:20,HT,20,2,1,56,78,81,448,49667
27,0,22:6e:45:de:34:20,HT,20,2,1,56,79,82,448,49667
28,0,22:6e:45:de:34:20,HT,20,2,1,56,78,82,448,49666
29,0,22:6e:45:de:34:20,HT,20,2,1,56,76,78,448,49667
30,0,22:6e:45:de:34:20,HT,20,2,1,56,76,79,448,49666
31,0,22:6e:45:de:34:20,HT,20,2,1,56,75,81,448,49667
32,0,22:6e:45:de:34:20,HT,20,2,1,56,76,80,448,49666
33,0,22:6e:45:de:34:20,HT,20,2,1,56,75,77,448,49667
34,0,22:6e:45:de:34:20,HT,20,2,1,56,76,80,448,49666
35,0,22:6e:45:de:34:20,HT,20,2,1,56,76,82,448,49668
36,0,22:6e:45:de:34:20,HT,20,2,1,56,76,82,448,49667
37,0,22:6e:45:de:34:20,HT,20,2,1,56,76,83,448,49667
38,0,22:6e:45:de:34:20,HT,20,2,1,56,77,77,448,49667
39,0,22:6e:45:de:34:20,HT,20,2,1,56,74,79,448,49667
40,0,22:6e:45:de:34:20,HT,20,2,1,56,75,79,448,49667
41,0,22:6e:45:de:34:20,HT,20,2,1,56,76,79,448,49666
42,0,22:6e:45:de:34:20,HT,20,2,1,56,75,84,448,49666
43,0,22:6e:45:de:34:20,HT,20,2,1,56,76,83,448,49666
44,0,22:6e:45:de:34:20,HT,20,2,1,56,77,79,448,49667
45,0,22:6e:45:de:34:20,HT,20,2,1,56,76,80,448,49666
46,0,22:6e:45:de:34:20,HT,20,2,1,56,77,79,448,49667
47,0,22:6e:45:de:34:20,HT,20,2,1,56,75,77,448,49667
48,0,22:6e:45:de:34:20,HT,20,2,1,56,75,77,448,49666
49,0,22:6e:45:de:34:20,HT,20,2,1,56,75,78,448,49666
50,0,22:6e:45:de:34:20,HT,20,2,1,56,75,82,448,49667
51,0,22:6e:45:de:34:20,HT,20,2,1,56,77,82,448,49667
52,0,22:6e:45:de:34:20,HT,20,2,1,56,74,80,448,49667
53,0,22:6e:45:de:34:20,HT,20,2,1,56,73,78,448,49666
54,0,22:6e:45:de:34:20,HT,20,2,1,56,74,79,448,49666
